TITLE,GROUP,PROJECT,LOCATION
Financial_Accountant_(6_Month_Contract),Accounting,Riot_Operations_&_Support,Dublin_Ireland
3D_Art_Lead_-_League_of_Legends,Art,League_of_Legends,Singapore
Animation_Artist_Intern,Internships,Internships,Los_Angeles_USA
Art_Lead_-_Legends_of_Runeterra,Art,Legends_of_Runeterra,Los_Angeles_USA
Associate_Live_Ops_Producer_-_Esports_(Contract),Esports,Esports,Singapore
Build_&_Automation_Engineer_-_R&DO.Shanghai,Software_Engineering_Group,Research_&_Development,Shanghai_China
Channel_Strategist_Mobile_-_Publishing_(Contract),Brand_Management,Riot_Operations_&_Support,Singapore
Community_Manager_-_VALORANT,Publishing,VALORANT,Stockholm_Sweden
Concept_Art_Lead_-_Teamfight_Tactics,Art,Teamfight_Tactics,Singapore
Concept_Artist_Intern_-_League,Internships,Internships,Los_Angeles_USA
Concept_Artist_Intern_-_VALORANT,Internships,Internships,Los_Angeles_USA
Consumer_Products_Creative_Designer_(Contractor),Consumer_Products,Consumer_Products,Shanghai_China
Contact_Experience_III_Player_Support_-_APAC_(Contract),Player_Support_Group,Riot_Operations_&_Support,Singapore
Country_Manager_France_&_Benelux,Publishing,Riot_Operations_&_Support,Paris_France
Creative_Content_Manager_(Contract),Publishing,Riot_Operations_&_Support,Manila_Philippines
Creative_Manager_-_Contract,Publishing,Riot_Operations_&_Support,Bangkok_Thailand
Director_Art_Direction_-_League_Personalization_Immersion_&_Expression_Team,Art,League_of_Legends,Los_Angeles_USA
Director_Compensation,People,Riot_Operations_&_Support,Los_Angeles_USA
Director_Insights_-_Unpublished_R&D_Product,Insights,Research_&_Development,Los_Angeles_USA
Director_RMO_and_Demand_Planning,Game_Production_Leadership,Riot_Operations_&_Support,Los_Angeles_USA
Director_Technical_Product_Management_-_Tech_Foundations,Production_Group,League_of_Legends,Los_Angeles_USA
EMEA_Tax_Director,Finance,Riot_Operations_&_Support,Dublin_Ireland
Esports_Production_Manager,Esports,Esports,Seoul_Korea
Event_Production_Manager_SEA,Esports,Esports,Singapore
Executive_Assistant_APAC_Publishing_(Contract),Publishing,Riot_Operations_&_Support,Singapore
Executive_Producer_League_of_Legends:_Wild_Rift,Game_Production_Leadership,League_of_Legends:_Wild_Rift,Shanghai_China
Finance_Operations_Analyst_II_(Contract),Finance,Riot_Operations_&_Support,Singapore
Game_Design_Intern,Internships,Internships,Los_Angeles_USA
Game_Design_Manager_-_League_of_Legends_Game_Modes,Design,League_of_Legends,Sydney_Australia
Game_Director_-_Unpublished_R&D_Product,Game_Production_Leadership,Research_&_Development,Los_Angeles_USA
Game_Production_Intern,Internships,Internships,Los_Angeles_USA
Gameplay_Software_Engineer_-_Shanghai_Game_Studio,Software_Engineering_Group,Research_&_Development,Shanghai_China
Global_Social_Media_Specialist_Publishing_–_Wild_Rift_(Contractor),Publishing,League_of_Legends:_Wild_Rift,Shanghai_China
HRIS_Technical_Manager_Vendor_Management_&_Talent_Acquisition_Systems,People,Riot_Operations_&_Support,Los_Angeles_USA
IT_Support_Specialist_APAC_(Contract),Information_Technology,Riot_Operations_&_Support,Singapore
Influencer_Manager_Indo_&_MY_(Contract),Publishing,Riot_Operations_&_Support,Jakarta_Indonesia
LCS_Commissioner,Esports,Esports,Los_Angeles_USA
Lead_Game_Producer_Distributed_Development_VALORANT,Production_Group,Riot_Game_Operations,Sydney_Australia
Manager_Art_Lead,Art,League_of_Legends,Singapore
Principal_Enterprise_Architect,Information_Technology,Riot_Operations_&_Support,Los_Angeles_USA
Principal_Game_Designer_Combat_-_Unpublished_R&D_Product,Design,Research_&_Development,Los_Angeles_USA
Principal_Game_Producer_Wild_Rift_Live_Ops_and_Delivery,Production_Group,League_of_Legends:_Wild_Rift,Shanghai_China
Principal_Product_Manager_-_Player_Platform_Digital_Experiences,Production_Group,Riot_Operations_&_Support,Los_Angeles_USA
Principal_Researcher_-_Central_Strategic_Insights,Insights,Research_&_Development,Los_Angeles_USA
Principal_Software_Engineer_(Data)_-_Riot_Data_Products_Data_as_a_Service,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Producer_III_-_Player_Platform_Riot_Client,Production_Group,Riot_Operations_&_Support,Los_Angeles_USA
Program_Manager_Intern_(MBA)_-_VALORANT,Internships,Internships,Los_Angeles_USA
Publishing_Partner_Manager_Taiwan,Publishing,Riot_Operations_&_Support,Singapore
Purchasing_Manager,Finance,Riot_Operations_&_Support,Seoul_Korea
QA_Engineer_-_League_of_Legends,QA_Group,League_of_Legends,Singapore
QA_Engineer_III_Tools_+_Gameplay_-_League_of_Legends,QA_Group,League_of_Legends,Singapore
QA_Engineer_League_PC_(Contractor),QA_Group,League_of_Legends,Shanghai_China
Research_Scientist_Intern_(PhD),Internships,Internships,Los_Angeles_USA
Senior_3D_Asset_Artist_Weapons_-_VALORANT,Art,VALORANT,Los_Angeles_USA
Senior_Accountant_-_Esports,Accounting,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Director_Software_Engineering_-_TFT,Software_Engineering_Group,Teamfight_Tactics,Los_Angeles_USA
Senior_Game_Designer_Control_and_Camera_Systems_-_R&D_Unpublished_Product,Design,Research_&_Development,Los_Angeles_USA
Senior_Game_Producer_-_League_of_Legends_Game_Modes,Production_Group,League_of_Legends,Sydney_Australia
Senior_Game_Producer_Events_Wild_Rift,Production_Group,League_of_Legends:_Wild_Rift,Shanghai_China
Senior_Manager_Creative_Direction_Wild_Rift_Shanghai,Creative_Direction,League_of_Legends:_Wild_Rift,Shanghai_China
Senior_Manager_Esports_Content_Services_-_Southeast_Asia_(SEA),Esports,Esports,Singapore
Senior_Manager_Global_Player_Support_-_Publishing_Live_Ops_Player_Support,Player_Support_Group,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Manager_Technical_Art_-_Creative_Department_Central_Creative_Tech,Art,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Motion_Graphics_Artist_-_Unpublished_Fighting_Game,Art,Project_L,SF_Bay_Area_USA
Senior_Product_Manager_(Monetization)_FFGS,Production_Group,Riot_Operations_&_Support,Shanghai_China
Senior_QA_Engineer_-_League_of_Legends_Game_Modes,QA_Group,League_of_Legends,Sydney_Australia
Senior_Release_Manager_Wild_Rift,Production_Group,League_of_Legends:_Wild_Rift,Shanghai_China
Senior_Security_Engineer,Information_Security_Group,Riot_Operations_&_Support,Dublin_Ireland
Senior_Security_Engineer_-_Application_Security_DevSecOps,Information_Security_Group,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Software_Engineer,Software_Engineering_Group,League_of_Legends,Dublin_Ireland
Senior_Software_Engineer_-_Player_Platform_CAP,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Software_Engineer_-_Player_Platform_Riot_Client,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Software_Engineer_-_VALORANT_Console_Developer_Experience,Software_Engineering_Group,VALORANT,Los_Angeles_USA
Senior_Software_Engineer_Machine_Learning_-_Emerging_Games_Data,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Senior_Software_Engineer:_Rendering,Software_Engineering_Group,Research_&_Development,Shanghai_China
Senior_Technical_Artist_(Rendering)_-_Unpublished_R&D_Product,Art,Research_&_Development,Los_Angeles_USA
Senior_Technical_Producer_-_Creative_Department_Central_Creative_Tech,Production_Group,Creative_&_IP_Development,Los_Angeles_USA
Senior_VFX_Artist_-_League_of_Legends,Art,League_of_Legends,Los_Angeles_USA
Senior_Workday_Integrations_Specialist,People,Riot_Operations_&_Support,Los_Angeles_USA
Software_Engineering_Manager_-_Wild_Rift_Data,Software_Engineering_Group,League_of_Legends:_Wild_Rift,Sydney_Australia
Splash_Illustration_Artist_Intern_-_League_of_Legends,Internships,Internships,Los_Angeles_USA
Sr._VFX_Artist_-_R&D_Office_(Shanghai),Art,Research_&_Development,Shanghai_China
Staff_Data_Engineer_-_Business_Operations,Data,Riot_Operations_&_Support,Los_Angeles_USA
Staff_Research_Scientist_Content_-_Generative_AI,Data,Research_&_Development,Los_Angeles_USA
Staff_Security_Engineer_-_Player_Security_Information_Security,Information_Security_Group,Riot_Operations_&_Support,Los_Angeles_USA
Staff_Software_Engineer_-_Game_Tech_Group_Anti-Cheat,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Staff_Software_Engineer_-_League_of_Legends_Data,Software_Engineering_Group,League_of_Legends,Los_Angeles_USA
Staff_Software_Engineer_-_League_of_Legends_Game_Modes,Software_Engineering_Group,League_of_Legends,Sydney_Australia
Staff_Software_Engineer_-_Tech_Foundations_Build_Test_Ship_Team,Software_Engineering_Group,League_of_Legends,Los_Angeles_USA
Staff_Software_Engineer_-_Tech_Foundations_League_Studio_Game_Engine_Team,Software_Engineering_Group,League_of_Legends,Los_Angeles_USA
Staff_Software_Engineer_-_VALORANT_Console_Developer_Experience,Software_Engineering_Group,VALORANT,Los_Angeles_USA
Staff_Software_Engineer_Machine_Learning_-_Emerging_Games_Data,Software_Engineering_Group,Riot_Operations_&_Support,Los_Angeles_USA
Staff_Systems_Engineer_-_Developer_Connections,Infrastructure,Riot_Operations_&_Support,Los_Angeles_USA
Supervisor_Brand_Management,Publishing,VALORANT,Stockholm_Sweden
Supervisor_People_Shared_Services_(Workday),People,Riot_Operations_&_Support,Los_Angeles_USA
Systems_Engineer_II_-_China_Game_Operations_VALORANT,Infrastructure,VALORANT,Los_Angeles_USA
Tax_Analyst,Finance,Riot_Operations_&_Support,Los_Angeles_USA
Tax_Manager,Finance,Riot_Operations_&_Support,Dublin_Ireland
Technical_Art_Intern_-_Tools_&_Pipeline,Internships,Internships,Los_Angeles_USA
Technical_Artist_Intern_-_Rigging_-_League_of_Legends,Internships,Internships,Los_Angeles_USA
Technical_Producer_II_Valorant_-_Pipelines_&_Workflows,Production_Group,VALORANT,Los_Angeles_USA
Technical_Product_Manager_II_-_China_Games_Operation,Production_Group,VALORANT,Los_Angeles_USA
Technical_Product_Manager_II_-_Player_Platform_Content_Access_Platform,Production_Group,Riot_Operations_&_Support,Los_Angeles_USA
Technical_Product_Manager_III_Build_-_VALORANT,Production_Group,VALORANT,Los_Angeles_USA
UX_Design_Intern,Internships,Internships,Los_Angeles_USA
VFX_Art_Intern_-_League_of_Legends,Internships,Internships,Los_Angeles_USA
Vendor_Program_Manager,Finance,Riot_Operations_&_Support,Los_Angeles_USA
Workplace_Experience_Partner_(Contract),Workplace_Experience,Riot_Operations_&_Support,Singapore
